生热光束,生热光束
褪色回忆,回忆凋零
产能爆发,产量激增
杀戮名单,名单      
野性直觉,野性感知
无餍屠夫,饥肠屠户
腐蚀药剂桶,腐蚀桶      
警告射击,警告射击
烦人幽灵,恼人幽魂
呼唤仪式,召唤仪式
使劲全力,竭尽所能
平行时空,平行时空
埋没的烈日巨环,荒埋的太阳圆盘
岩石编制,塑岩      
狂暴四不像,痛击噬怪   
适应型号3000型,自适应3000型   
生死相依,生死双子
盗版赝品,赝品      
俘虏,拘捕
遗愿,绝念
备战,鼓舞
隐秘,灵巧
开悟,启明
闪灵,瞬息
威吓,凶煞
掠夺,洗劫
乱掷,投掷
泯灭,湮灭
弱势,易损
蛮力,碾压
扩增,增强
快速攻击,先制攻击
海难投弃,投弃      
游侠决心,护林决心
群鸦盛宴,狂食鸦群
灵犬座刻碑,信犬印记   
星辰牧羊人,星角牧童   
异想画师,创想画家
勒索,勒索
法术窃盗,窃法巧手
死亡射线：1型,死亡射线：1型
飞鸟座,飞鹤   
压力测试,压力测试
三姊妹,三姐妹
巴凯收割者,夺命巴凯   
占沙术,占沙术
未来异想,无穷遐想
开膛手海湾,鬼影海湾   
落地喵喵,坠地猫咪
以物易物,锁物交易
恶臭呼碰,恶臭汪噗
森之殇,森之殇
茄妖幼苗,精灵新芽
鬼步,鬼步
警示鹰,预示鹰
军团破坏者,军团破坏者
应急装置,应急装置
灵巧魄罗,灵动魄罗
无战痕洗劫者,无疤游荡者   
蘑菇云,蘑菇云
祖安小乞丐,祖安顽童   
精神导师,励志老师
大胆魄罗,大胆魄罗
幼年学怪,雪人幼崽
凶厄魄罗,坏坏魄罗
英勇魄罗,勇敢魄罗
魂灵吸噬,灵魂汲取
寒毛直竖,虫匍临身
暗影之魔,影魔      
钢铁脆化,钢铁脆化
不知情的岛民,无知岛民      
倒霉的贵族,倒霉贵族   
急速猛攻,冲击      
军团后卫,军团后卫
猎魔监管员,驱法收容者
利刃刀锋,刀锋利刃
聪慧学者,聪慧学者
抗击魔药,钢铁合剂
锁子甲,锁子甲
愤怒魔药,愤怒合剂
群暗影岛印记,群岛印记      
宝贝毒蛛,宝贝宠物
孤单魄罗,孤独魄罗
召回,召回
那欧利刃斥候,纳沃利刃探   
武术学徒,练功学徒
生命药水,生命药水
林地守护者,绿野看管员
光辉打击,光辉打击
黏人魄罗,黏人魄罗
德莱文的头号粉丝,德莱文头号粉丝   
克劳菲尔德的席莉亚,云丛的希思莉亚      
疾羽猎鹰,羽追踪者
狱长的猎物,狱长的猎物
狡诈,狡诈
警告过你喽,警告过你   
鼬诈老千,台球行家
大盗魄罗,魄罗劫匪
潜行割喉客,潜行割喉客
枪火谈判,枪火谈判
贝壳电击者,贝壳炮手   
残渣打捞者,残渣疏浚工
越狱,越狱
残勾团屠夫,铁钩帮屠夫
神射海盗,神射海盗
低吼树怪,树皮吼怪
扭曲树精,树苗投掷
寻花松鼠,花童      
皮克斯！,皮克斯！
普蝶,魄蝶
送礼人,送礼人
月环唤幕者,皎月暮使徒
日轮士兵,烈阳士兵
冥鬼枭,冥河枭
夜幕庇护,黑暗庇护
硬脾气老蝎,易怒老蝎   
护刃随从,剑童      
巨臂改装迷,武装改造迷
彼方馈赠,彼岸赐福
战技专精,战地巧技
忏罪随从,悔罪侍从
巨龙点心,巨龙点心
冰封奴魔,冰封奴仆
暗影学徒,暗影学徒
血色怪猫,猩红血怪
嗜血流寇,嗜血流寇
远古计划,远古整备
烈日当空,虚弱      
天选魄罗,天命魄罗
砥砺石,形岩   
沙丘守护者,沙丘守卫   
舞动水滴,舞动水滴
石奇,奇璞
血饵,血饵
幼鲨,幼鲨
天体并行,晨昏齐列
滑板女孩,飞板滑手
寻宝人,寻宝人
幼年煞族,幼艾克塞
胆小野山羊,受惊野山羊
八爪水獭,章獭      
海克斯地雷带,海克斯爆雷区
紫莓果昔,紫莓奶昔
灵巧化学家,创新化学家
约德尔随从,约德尔侍从
原始魄罗,始祖魄罗
剧毒吹箭,毒性吹箭
团体照,合照   
重生掷弹兵,复生掷弹兵
进阶情报,进阶线报
力量方尖碑,力量方尖碑
荒凉造物,荒芜造物
新星哨兵,新兴哨兵
锻造场主管,锻造厂主管
废物利用,废料堆   
云卷式,徐如云
传奇追寻者,传奇追寻者
反魔法英石巨犬像,禁魔石猎犬         
默言影见者,谧影先知   
残钩团监工,铁钩帮工头
龙瞳修行者,神龙之眼   
星泉,星泉
重影潜蝠,不散潜影
星星骨头,星骨棒   
黑玫瑰间谍,黑玫瑰间谍
不配飞升,云泥殊路
神羊喘息,羊灵生息
刺骨鱼叉,透骨尖钉
打击宣言,垒打宣言
四尾旋刃者,仙灵剑舞者
武器铁匠,战地铁匠
吹号求援,敦请救兵
播撒的种子,耕耘         
血色门徒,猩红学徒
竞技场主持人,竞技场播报员
魄罗牧人,魄罗牧者
竞技场组头,竞技场管理
猎魔宣教士,驱法说服者
死亡莲花,死亡莲华
林地双煞,绿野二人
鲨鱼战车,鲨鱼战车
特菲利安求誉者,崔法利逐耀者   
亘古洞悉,世纪之眼
英勇水手,勇敢水手
钢铁暴雪,斩钢闪   
化学庞克扒手,炼金顽童      
星光先知,星光先知
珊瑚小顽童,珊瑚精灵   
黑市商人,黑市商人
选牌,选牌
飞鹰突击,炫目攻势
寒风刺骨,陷入寒境
集体分赃,共享战利
走为上策,回身      
巨龙先使,巨龙令使
紫角山羊,山羊      
压制,铁手
抗魔英石雕,禁魔石雕   
抗拒！,回绝！
拼装魄罗机器人,补丁魄罗机      
沉睡梦域,催眠气泡
酷炫星图,酷炫星图
弱肉强食,捕猎弱者
巨魔馈赠,巨魔赠礼
星角峰,摘星峰
珍存之所,存护处所
远古沙漏,远古沙漏
杀戮之路,毁灭之径
身陷黄昏,灵约黄昏
深海甲虫,深海甲虫
神皇高台,御用高台
切分换位,切分易位
缎带舞者,红绸舞者
海藻少女,海藻姑娘
贝壳学家,贝壳学家
行走望远镜,大步望远镜
设陷阱,设陷阱
玛拉族守卫,鲛人守卫   
玛拉族歌姬,鲛人歌姬   
复活手术,盐线手术
劲风修士,呼风僧侣
高压电鱼叉,电子鱼叉   
盾之跃击,斗盾跃击
奇幻图腾,摸鱼飞弹
妖精爷爷,精灵爷爷
反魔法英石巨翼像,禁魔石巨鹰         
面具看守者,面具守侍   
菁英学院奇才,学院天才      
春临信使,春之使   
窥视异域,彼岸一瞥
牧灵者,牧魂者
勤奋的学徒,勤奋的学徒
先锋守军,先锋卫士
鲜血转换,鲜血转换
暗影的逆袭,暗影冲击   
