比爾吉沃特,比尔吉沃特
弗拉迪米爾,弗拉基米尔
弗雷爾卓德,弗雷尔卓德
艾妮維亞,艾尼维亚
愛歐尼亞,艾欧尼亚
伊瑞莉雅,艾瑞莉娅
翱銳龍獸,铸星龙王
班德爾城,班德尔城
崔絲塔娜,崔丝塔娜
蒂瑪西亞,德玛西亚
亞菲利歐,厄斐琉斯
剛普朗克,普朗克丨
漢默丁格,黑默丁格
吉茵珂絲,金克丝丨
克黎思妲,卡莉斯塔
卡特蓮娜,卡特琳娜
雷尼克頓,雷克顿丨
目不暇给,目不暇接
諾克薩斯,诺克萨斯
納帝魯斯,诺提勒斯
皮爾托福,皮尔托夫
雙重攻擊,双重攻击
咆啸深渊,嚎哭深渊
泰達米爾,泰达米尔
快速攻擊,先制攻击
伊澤瑞爾,伊泽瑞尔
梵斯塔雅,瓦斯塔亚
眾星之子,众星之子
月影步槍,丨通碧丨
月鐮槍刃,丨断魄丨
熾夜月焰,丨萤焰丨
月殞重炮,丨坠明丨
月曲終章,丨折镜丨
征戰風暴,战争罡风
埃可尚,阿克尚
阿祈爾,阿兹尔
暗影島,暗影岛
布郎姆,布隆丨
達瑞斯,诺手丨
黛安娜,黛安娜
達瑞文,德莱文
菲歐拉,菲奥娜
維爾戈,佛耶戈
伺服器,服务器
好運姐,好运姐
希格斯,吉格斯
巨石峰,巨神峰
凱特琳,凯特琳
拉克絲,拉克丝
勒布朗,乐芙兰
雷珂煞,雷克塞
雷歐娜,蕾欧娜
麗珊卓,丽桑卓
路西恩,卢锡安
納瑟斯,内瑟斯
瑟菈紛,萨勒芬
史瓦妮,瑟庄妮
蘇瑞瑪,恕瑞玛
塔莉雅,塔莉娅
貪啃奇,塔姆丨
赫克林,人马丨
瑟雷西,锤石丨
維克特,维克托
希維爾,希维尔
伊莉絲,伊莉丝
加里歐,加里奥
烏迪爾,乌迪尔
齊勒斯,泽拉斯
阿卡莉,阿卡丽
貓耳鴞,猫头鹰
阿璃,阿狸
悠咪,悠米
吶兒,纳尔
寶藏,宝藏
變取,变取
逾时,超时
斥侯,斥候
倒楣,倒霉
調節,调节
奪取,夺取
飛斯,菲兹
蓋倫,盖伦
備戰,鼓舞
回覆,回复
反覆,反复
擊暈,击晕
極靈,基兰
计画,计划
堅忍,坚韧
杰西,杰斯
俘虜,拘捕
龍族,巨龙
遺願,绝念
卡瑪,卡玛
逆命,卡牌
凯莎,卡莎
凱能,凯南
葵恩,奎因
藍寶,兰博
瞭解,了解
李星,李青
连结,链接
隱密,灵巧
露璐,璐璐
茂凱,茂凯
夜曲,魔腾
膨菇,蘑菇
娜米,娜美
蠻力,碾压
普羅,魄罗
開悟,启明
鏡爪,千珏
雷玟,瑞文
賽恩,塞恩
姗娜,塞纳
閃靈,瞬息
斯溫,斯温
提摩,提莫
亂擲,投掷
網路,网络
大啖,大胆
維迦,维迦
菲艾,蔚丨
掠奪,洗劫
咆啸,咆哮
威嚇,凶煞
犽宿,亚索
泯滅,湮灭
弱勢,易损
犽凝,永恩
擴增,增强
佐恩,祖安
柔依,佐伊
姍娜,赛娜
暂据,占据
台湾,北京
佐恩,祖安
愛,爱
闇,暗
奧,奥
罷,罢
擺,摆
敗,败
闆,板
辦,办
絆,绊
幫,帮
飽,饱
報,报
貝,贝
備,备
憊,惫
筆,笔
幣,币
畢,毕
閉,闭
庇,庇
邊,边
編,编
變,变
標,标
飆,飙
幷,并
併,并
補,补
採,采
參,参
殘,残
燦,灿
蒼,苍
冊,册
測,测
層,层
儕,侪
纏,缠
產,产
懺,忏
顫,颤
嘗,尝
廠,厂
暢,畅
車,车
徹,彻
塵,尘
稱,称
撐,撑
誠,诚
懲,惩
癡,痴
遲,迟
齒,齿
熾,炽
沖,冲
蟲,虫
醜,丑
廚,厨
礎,础
儲,储
處,处
觸,触
闖,闯
創,创
錘,锤
純,纯
詞,词
辭,辞
聰,聪
從,从
叢,丛
錯,错
達,达
帶,带
擔,担
單,单
膽,胆
誕,诞
彈,弹
當,当
擋,挡
黨,党
盪,荡
蕩,荡
檔,档
導,导
島,岛
搗,捣
禱,祷
盜,盗
燈,灯
遞,递
巔,巅
點,点
電,电
電,电
調,调
諜,谍
釘,钉
頂,顶
東,东
動,动
凍,冻
鬥,斗
獨,独
讀,读
賭,赌
斷,断
緞,缎
鍛,锻
隊,队
對,对
兌,兑
頓,顿
奪,夺
額,额
惡,恶
餓,饿
鱷,鳄
兒,儿
爾,尔
餌,饵
發,发
髮,发
罰,罚
閥,阀
煩,烦
飯,饭
範,范
紡,纺
飛,飞
廢,废
費,费
墳,坟
奮,奋
憤,愤
豐,丰
風,风
瘋,疯
鋒,锋
馮,冯
縫,缝
膚,肤
輻,辐
輔,辅
負,负
複,复
賦,赋
縛,缚
該,该
蓋,盖
尷,尴
尷,尴
趕,赶
幹,干
剛,刚
鋼,钢
鎬,镐
啰,咯
給,给
亙,亘
溝,沟
鉤,钩
鉤,钩
構,构
購,购
够,够
顧,顾
僱,雇
錮,锢
關,关
觀,观
館,馆
廣,广
歸,归
龜,龟
規,规
軌,轨
詭,诡
貴,贵
滾,滚
國,国
還,还
駭,骇
漢,汉
號,号
恆,恒
橫,横
轟,轰
紅,红
鴻,鸿
後,后
鬍,胡
戶,户
護,护
華,华
劃,划
畫,画
話,话
懷,怀
壞,坏
歡,欢
環,环
換,换
喚,唤
黃,黄
揮,挥
輝,辉
迴,回
毀,毁
匯,汇
渾,浑
夥,伙
貨,货
獲,获
穫,获
擊,击
飢,饥
雞,鸡
積,积
羈,羁
級,级
極,极
輯,辑
幾,几
擠,挤
計,计
記,记
記,记
紀,纪
際,际
劑,剂
跡,迹
蹟,迹
覬,觊
績,绩
傢,家
價,价
駕,驾
堅,坚
間,间
監,监
繭,茧
撿,捡
檢,检
減,减
簡,简
見,见
薦,荐
劍,剑
艦,舰
漸,渐
濺,溅
鑑,鉴
將,将
韁,缰
講,讲
獎,奖
驕,骄
鉸,铰
脚,脚
攪,搅
繳,缴
較,较
階,阶
節,节
傑,杰
結,结
屆,届
藉,借
僅,仅
盡,尽
儘,尽
緊,紧
進,进
勁,劲
晉,晋
燼,烬
經,经
鯨,鲸
頸,颈
徑,径
淨,净
競,竞
靜,静
鏡,镜
舊,旧
鷲,鹫
